tsne_x,tsne_y,label_mood,player_id
29.91555,71.853584,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
30.561384,72.212585,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-10.204488,34.318977,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-10.807263,34.28145,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-11.284155,34.311275,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-12.269829,34.988293,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
22.04917,38.51596,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
22.797337,38.021133,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
23.008425,37.754955,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
23.328602,37.084972,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
56.8891,-15.142085,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
56.88372,-15.230649,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-61.2396,1.5585225,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-71.05905,-8.160749,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-70.91686,-8.354256,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-69.64499,-9.045409,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-12.65718,-28.977592,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-7.255164,-14.635414,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
14.435654,49.5158,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
15.067707,49.42589,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
15.462254,49.391273,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
16.107252,49.292145,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
16.20235,49.269073,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
30.000772,41.58289,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
-23.17783,3.2677672,1,06F9F8CE-9696-23CA-25B5-000AA4A793BA
-23.472404,3.0363944,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
11.245372,20.164433,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
11.0412445,20.378424,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
24.338547,28.36453,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
24.465666,28.400291,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
-76.20803,-19.389486,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
-76.44292,-19.204082,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
-61.277237,-13.815505,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
-61.167007,-13.711488,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
-18.41961,4.8324127,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
-18.51012,4.937659,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
-51.79713,-5.88698,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
-51.575382,-5.9505925,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
14.313929,-11.942431,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
27.062464,-17.570768,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
27.301708,-18.052544,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
27.555742,-18.717926,1,06F9F8CE-9696-23CA-25B5-000AA4A793BA
27.86809,-19.895367,1,06F9F8CE-9696-23CA-25B5-000AA4A793BA
28.833076,-22.85362,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
29.086945,-23.952234,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
30.064758,-24.75429,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
30.489395,-24.837145,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
29.935366,-25.555727,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
-8.58842,-42.8325,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
-8.565165,-42.829865,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
-55.00758,-15.093026,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
-54.980755,-15.040842,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
-22.423933,-4.895289,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
-22.2359,-4.85211,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
31.571953,-20.527431,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
31.595343,-20.529015,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
57.453587,-35.703186,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
56.847225,-36.031025,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
56.451767,-36.427567,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
56.014034,-36.805683,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
55.50647,-37.287773,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
-4.521199,-46.437717,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
-67.358,-17.758375,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
-67.59163,-17.597271,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
-40.50861,18.098896,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
-40.44952,18.098806,2,09FCECC4-F94E-ED69-5E9B-3223B590A149
-33.617012,-19.064352,0,09FCECC4-F94E-ED69-5E9B-3223B590A149
-33.18933,-18.682678,0,09FCECC4-F94E-ED69-5E9B-3223B590A149
-32.206543,-17.774405,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
-31.855196,-17.422598,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
-31.507887,-17.14198,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
-30.602093,-16.826616,1,09FCECC4-F94E-ED69-5E9B-3223B590A149
15.030757,-33.535816,2,0A221ADF-C99E-307E-7B65-92EF9DABA6C4
