tsne_x,tsne_y,label_mood,player_id
26.881819,-28.359655,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
27.37649,-28.641455,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
27.436468,-28.726181,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
28.042402,-29.63096,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
28.519184,-29.658525,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
49.910328,4.730995,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-56.612804,-18.954054,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-56.61318,-18.953487,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-63.858574,-20.909302,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-63.74569,-20.282787,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-63.73656,-20.037128,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-22.294836,-9.049591,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-18.76932,-5.071059,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-18.944044,-5.196147,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-18.997807,-5.2173524,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-20.944466,-6.9161525,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-21.324167,-7.393522,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
-22.001347,-8.18967,0,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
55.15565,21.595772,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
54.557728,21.280907,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
54.91805,21.509678,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
54.65622,21.63886,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
8.855298,2.8377054,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
8.819608,2.8439496,2,018B0D8D-B5EC-09D6-90ED-550058EBFEAF
33.801014,-16.03861,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
34.203243,-16.709175,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
57.806145,-11.951774,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
57.932587,-11.954362,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
58.458687,-11.736224,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
58.564075,-11.872377,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
-25.665556,-18.57177,0,06F9F8CE-9696-23CA-25B5-000AA4A793BA
-25.45628,-18.59046,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
-25.369802,-18.60028,2,06F9F8CE-9696-23CA-25B5-000AA4A793BA
