video_path,start,end,label
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,0.0,6.0,up
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,1.0,7.0,up
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,2.0,8.0,up
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,3.0,9.0,up
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,4.0,10.0,up
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,5.0,11.0,same
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,6.0,12.0,same
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,7.0,13.0,same
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,8.0,14.0,down
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,9.0,15.0,down
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,10.0,16.0,down
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,11.0,17.0,up
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,12.0,18.0,up
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,13.0,19.0,up
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,14.0,20.0,up
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,15.0,21.0,up
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,16.0,22.0,same
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,17.0,23.0,same
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,18.0,24.0,down
./apex/videos/D57F474B-B38C-E9AF-73CC-2CF16EED3827_apex_4D665AE2-C24B-C10B-438C-2748F6DFAAD1.webm,19.0,25.0,down
